route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
DRT001,everyday,Panauti2BirHospital_T01,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T02,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T03,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T04,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T05,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T06,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T07,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T08,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T09,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T10,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T11,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T12,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T13,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T14,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T15,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T16,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T17,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T18,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T19,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T20,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T21,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T22,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T23,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T24,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T25,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T26,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T27,Bir Hospital Bus Park (Flag),0,,DRT001,,
DRT001,everyday,Panauti2BirHospital_T28,Bir Hospital Bus Park (Flag),0,,DRT001,,
